official_code,eligibility_base,row_label
P17J,After Graduation,M.Tech. (Power Systems)
P17Q,After Graduation,M.Tech. (Food Technology)
P171,After Graduation,M.Tech. (Biotechnology) / M Tech (Biotechnology) [ 1+1 with international credit transfer option]
P171-Y,After Graduation,M.Tech. (Biotechnology) / M Tech (Biotechnology) [ 1+1 with international credit transfer option]
P164-NN1,After Graduation,MCA
P164-HN8,After Graduation,MCA (Hons.) (Data Science)
P164-HN7,After Graduation,MCA (Hons.) (Artificial Intelligence and Machine Learning)
P164-HN9,After Graduation,MCA (Hons.) (Cyber Security)
P163,After Graduation,M.Sc. (Information Technology)
P16AJ,After Graduation,M.Sc (Data Science)
P26B-NN1,After Graduation,M.Sc. (Agri.) Agronomy
P26B-NN2,After Graduation,M.Sc. (Agri.) Soil Science
P26B-NN3,After Graduation,M.Sc. (Agri.) Genetics and Plant Breeding
P26B-NN5,After Graduation,M.Sc. (Agri.) Entomology
P26B-NN6,After Graduation,M.Sc. (Agri.) Plant Pathology
P26E,After Graduation,M.Sc. (Hort.) Vegetable Science
P26C,After Graduation,M.Sc. (Hort.) Fruit Science
P26F-NN1,After Graduation,M.Sc. (Hort.) Floriculture and Landscaping
P264,After Graduation,M.Sc. (Food Science and Technology)
P265-NN1,After Graduation,Masters of Nutrition and Dietetics
P260-H,After Graduation,M.Sc. (Hons.) Biotechnology
P263-H,After Graduation,M.Sc. (Hons.) Microbiology
P26G,After Graduation,M.Sc. (Forensic Science)
P26G-NN1,After Graduation,M.Sc. (Digital Forensics and Cyber Security)
P262-H,After Graduation,M.Sc. (Hons.) Zoology/ / M.Sc. (Zoology)
P2L2,After Graduation,M.Sc. (Hons.) Zoology/ / M.Sc. (Zoology)
P268-H,After Graduation,M.Sc. (Hons.) Physics
P266-H,After Graduation,M.Sc.(Hons.) Chemistry
P269,After Graduation,M.Sc. (Mathematics)
P269-NN-1,After Graduation,M.A. (Mathematics)
P26J,After Graduation,M.Sc. (Statistics and Data Analytics)
P570-NN1-D,After Graduation,M.Pharm. (Pharmaceutics)
P570-NN2-D,After Graduation,M.Pharm. (Pharmacology)
P570-NNB-D,After Graduation,M.Pharm. (Pharmaceutical Analysis)
P570-NN3-D,After Graduation,M.Pharm. (Pharmaceutical Chemistry)
P570-NND-D,After Graduation,M.Pharm. (Pharmacy Practice)
P580-NNLA,After Graduation,Pharm.D (PB)
P572-NNDA,After Graduation,M.PT
P572-NNEA,After Graduation,M.PT
P572-NNFA,After Graduation,M.PT
P561-NNM,After Graduation,Master of Medical Laboratory Science (Medical Microbiology)
P568,After Graduation,M.Sc. (Clinical Embryology)
